TSR|monsterKey|setting|mainTitle|title|name|Diet|Frequency|Hit Dice|Intelligence|Magic Resistance|Morale|Movement|No. Appearing|No. of Attacks|Organization|Size|Special Attacks|Special Defenses|THAC0|Treasure|XP Value|Alignment|Armor Class|Climate/Terrain|Damage/Attack
['2129']|centdese|Al-Qadim (Forgotten Realms)|Centaur, Desert|Centaur, Desert|Centaur, Desert|Omnivore|Rare|3|Low to Average (5-10)|Nil|Elite (13-14)|21|1-8 (70%) or 4-32 (30%)|3|Tribal|M (6' tall)|Missile weapons|Nil|17|M,Q, (D,I,T)|120<br>Leader: 175<br>Priest: 270|Neutral or chaotic good|6|Subtropical/desert, grasslands|1-4/1-4 and weapon
['2129']|coppauto|Al-Qadim (Forgotten Realms)|Copper Automaton|Copper Automaton|Copper Automaton|None|Very rare|6|Low (5-7)|Nil|Fearless (20)|9|1 (90%) or 3-18 (10%)|2|Solitary|M|Heat|Spell immunities|15|Nil|650|Neutral|3|Ruins|1-6/1-6 or 2-12/2-12
['2129']|debbi|Al-Qadim (Forgotten Realms)|Debbi|Debbi|Debbi|Scavenger|Uncommon|1+1|Low (7)|Nil|Unsteady (5-7)|15, Cl 6|1-8|1|Pack|S (2' tall)|Induce fear|Nil|19|Nil|65|Neutral evil|7|Tropical and subtropical/desert|1-4
['2129']|elepbird|Al-Qadim (Forgotten Realms)|Elephant Bird|Elephant Bird|Elephant Bird|Omnivore|Rare|3+3|Animal (1)|Nil|Unsteady to Average (5-9)|Fl 18 (C)|10-100|1 or 3|Flocks|M (5')|Heated rocks|Nil|17|Nil|420|Neutral|5|Jungle|1-10 or 1-4/1-4/1-6
['2129']|gen|Al-Qadim (Forgotten Realms)|Gen|Gen|Air|Omnivore|Uncommon|½ master's level|Low (5-7)|Nil|Fanatical (18) for a sha'ir's first gen|Fl 12 (B)|1|1|Tribe|S (8-12&rdquo;)|Nil|Fly|Varies (dependent on on Hit Dice)|Nil|Varies (dependent on Hit Dice)|Neutral|5|Any|1-6
['2129']|gen|Al-Qadim (Forgotten Realms)|Gen|Gen|Fire|Omnivore|Uncommon|½ master's level|Low (5-7)|Nil|Fanatical (18) for a sha'ir's first gen|18|1|1|Tribe|S (8-12&rdquo;)|Produce flame|Nil|Varies (dependent on Hit Dice)|Nil|Varies (dependent on Hit Dice)|Neutral|5|Any|1-6
['2129']|gen|Al-Qadim (Forgotten Realms)|Gen|Gen|Sand|Omnivore|Uncommon|½ master's level|Low (5-7)|Nil|Fanatical (18) for a sha'ir's first gen|9|1|1|Tribe|S (8-12&rdquo;)|Nil|Nil|Varies (dependent on Hit Dice)|Nil|Varies (dependent on Hit Dice)|Neutral|5|Any|2-12
['2129']|gen|Al-Qadim (Forgotten Realms)|Gen|Gen|Water|Omnivore|Uncommon|½ master's level|Low (5-7)|Nil|Fanatical (18) for a sha'ir's first gen|Sw 12|1|1|Tribe|S (8-12&rdquo;)|Nil|Breathe water|Varies (dependent on Hit Dice)|Nil|Varies (dependent on Hit Dice)|Neutral|5|Any|1-6
['2129']|geninoda|Al-Qadim (Forgotten Realms)|Genie, Noble Dao|Genie, Noble Dao|Genie, Noble Dao|Omnivore|Very rare|12+3|Very to Exceptional (11-16)|20%|Fanatic (17-18)|12, Fl 21 (B), Br 9|1|2|Khanate|L (12' tall)|See below|See below|7|U,Q(&times;10)|11,000|Neutral evil|0|Elemental earth, mountains|4-24/4-24
['2129']|geninodj|Al-Qadim (Forgotten Realms)|Genie, Noble Djinni|Genie, Noble Djinni|Genie, Noble Djinni|Omnivore|Very rare|10+3|High to Genius (13-18)|10%|Champion (15-16)|12, Fl 36 (A)|1|1|Caliphate|L (12' tall)|See below|See below|9|U|10,000|Chaotic good|1|Elemental air, desert|3-24
['2129', '9459']|geninoef|Al-Qadim (Forgotten Realms)|Genie, Noble Efreeti|Genie, Noble Efreeti|Genie, Noble Efreeti|Omnivore|Very rare|13|Very to Exceptional (11-16)|15%|Fanatic (18)|12 Fl 30 (B)|1|2|Sultanate|L (15' tall)|See below|See below|7|U|11,000|Lawful evil|-1|Elemental fire, desert|4-32/4-32
['2129']|geninoma|Al-Qadim (Forgotten Realms)|Genie, Noble Marid|Genie, Noble Marid|Genie, Noble Marid|Omnivore|Very rare|16|Genius to Supra-genius (17-20)|50%|Fanatic (18)|12, Fl 21 (B), Sw 30|1|2|Padishate|H (22' tall)|See below|See below|5|T,U|17,000|Chaotic|-2|Elemental water, seas|8-32/8-32
['2129']|gentarbu|Al-Qadim (Forgotten Realms)|Genie, Tasked, Architect/Builder|Genie, Tasked, Architect/Builder|Genie, Tasked, Architect/Builder|Omnivore|Very rare|9|Genius (17)|Nil|Average (8-10)|15|1|1|Solitary|M (7' tall)|See below|See below|11|Nil|5,000|Neutral|4|Any|4-24
['2129']|gentarti|Al-Qadim (Forgotten Realms)|Genie, Tasked, Artist|Genie, Tasked, Artist|Genie, Tasked, Artist|Omnivore|Very rare|7|Genius (17)|Nil|Unsteady (5-7)|9|1|1|Solitary|M (7' tall)|See below|Nil|13|R (&times;3)|975|Chaotic neutral|5|Cities|1-6
['2129']|gentguar|Al-Qadim (Forgotten Realms)|Genie, Tasked, Guardian|Genie, Tasked, Guardian|Genie, Tasked, Guardian|Carnivore|Very rare|14|High (14)|25%|Fanatical (17-18)|15|1|4|Solitary|L (10' tall)|See below|See below|7|F,G,Z|13,000|Lawful|-4|Any|1-10/1-10/1-10/1-10 or by weapon +8 (&times;4)
['2129']|gentherd|Al-Qadim (Forgotten Realms)|Genie, Tasked, Herdsman|Genie, Tasked, Herdsman|Genie, Tasked, Herdsman|Carnivore|Rare|3|Very (11-12)|Nil|Steady (11-12)|21|1-100|2|Family|M (6' tall)|See below|See below|18|D for group, P otherwise|175|Neutral|6|Plains|By weapon type
['2129']|gentslay|Al-Qadim (Forgotten Realms)|Genie, Tasked, Slayer|Genie, Tasked, Slayer|Genie, Tasked, Slayer|Carnivore|Very rare|12|High (13-14)|15%|Fearless (20)|24, Fl 30 (B)|1|2|Solitary|L (10' tall)|See below|See below|9|U|11,000|Neutral evil|-2|Any|2-16/2-16 or by weapon type +9
['2129']|gentwarm|Al-Qadim (Forgotten Realms)|Genie, Tasked, Warmonger|Genie, Tasked, Warmonger|Genie, Tasked, Warmonger|Omnivore|Rare|7|Exceptional (15-16)|Nil|Fanatical (17-18)|12|1|1|Solitary|M (5' tall)|Spells|Raise morale|13|B|1,400|Lawful evil|4|Any|1-10 or by weapon +4
['2129']|gentwine|Al-Qadim (Forgotten Realms)|Genie, Tasked, Winemaker|Genie, Tasked, Winemaker|Genie, Tasked, Winemaker|Omnivore|Very rare|2|Average (8-10)|Nil|Average (8-10)|12|1|1|Solitary|M (4-5' tall)|See below|See below|19|X,C|120|Neutral (good tendencies)|8|Temperate or subtropical villages and hills|1-6 or by weapon type
['2129']|ghosmoun|Al-Qadim (Forgotten Realms)|Ghost Mount|Ghost Mount|Ghost Mount|None|Very rare|3|Low (5-7)|Nil|Champion (15-16)|30|1|3|Solitary|L|See below|See below|17|Nil|420|Neutral evil|5|Desert, plains|1-8/1-8/1-6
['2129', '2158', '9459']|ghulgrea|Al-Qadim (Forgotten Realms)|Ghul|Ghul|Great|Scavenger|Rare|4|High (13-14)|Nil|Average (8-10)|18 (Br 3 or Cl 12)|1-3|3|Pack|M (7-10')|Magic use, shapeshifting|Spell immunities, +1 weapon to hit|15|C|Common: 1,400<br>1st- to 4th-level mage: 2,000<br>5th- to 7th-level mage: 3,000|Neutral evil|0|Desert, mountains|1-6/1-6/2-12
['2129', '2158', '9459']|ghulgrea|Al-Qadim (Forgotten Realms)|Ghul|Ghul|Lesser|Scavenger|Very rare|3|Average (8-10)|Nil|Average (8-10)|12 (Br 1 or Cl 3)|1-3|3|Solitary or pack|M (5-6')|Magic use, shapeshifting|Spell immunities, +1 weapon to hit|17|B|975|Neutral evil|2|Desert, mountains|1-4/1-4/2-8
['2129', '2140']|giandese|Al-Qadim (Forgotten Realms)|Giant, Desert|Giant, Desert|Giant, Desert|Omnivore|Very rare|13|Average (8-10)|Nil|Elite (14)|15|2-20|1|Tribal|H (17' tall)|Hurling spears|Camouflage|7|B|5,000|Neutral|1|Desert|1-10 or by weapon (2-12 +7)
['2129', '2140']|gianjung|Al-Qadim (Forgotten Realms)|Giant, Jungle|Giant, Jungle|Giant, Jungle|Carnivore|Uncommon|11|Average to High (8-14)|Nil|Champion (16)|15, Cl 6|1 or 1-6|1 or 2|Tribal/cooperative|H (18' tall)|Surprise, arrows|See below|9|Q (A)|6,000|Neutral|3|Tropical/jungle|2-16 +9 or 2-12 +9/2-12 +9
['2129', '2140']|gianreef|Al-Qadim (Forgotten Realms)|Giant, Reef|Giant, Reef|Giant, Reef|Omnivore|Very rare|18|Very (11-12)|Nil|Fanatic (17)|15, Sw 12|1 or 1-4|1|Solitary|H (16' tall)|Boulders, whirlpool|Immune to water-based attacks|5|Z (A)|12,000|Neutral good|0 or -4|Tropical or subtropical ocean/reef|1-10 or by weapon (typically 2-20 + 10)
['2129']|hama|Al-Qadim (Forgotten Realms)|Hama|Hama|Hama|None|Rare|1|Low to Very (5-12)|Nil|Average (8-10)|1, Fl 30|1|2|Solitary|S|Fear|Immaterial|20|Nil|120|Any|2 (7)|Any|1-3/1-3
['2129']|heway|Al-Qadim (Forgotten Realms)|Heway|Heway|Heway|Carnivore|Uncommon|1+3|Low (5-7)|Nil|Unsteady (5-7)|12, Sw 6|1-2|1|Solitary|M (12' long)|Poison, hypnotic stare|Poison skin|19|Nil|175|Chaotic evil|7|Desert oases|1-3
['2129']|liviidol|Al-Qadim (Forgotten Realms)|Living Idol|Living Idol|Animal|Sacrifices|Very rare|9|Semi (2-4)|Nil|Fearless (20)|6|1|1|Solitary|L (10-12' tall)|Charm|Immune to most spells, +3 or better weapon to hit|3|Incidental|9,000|Lawful neutral|4|Any|4-32
['2129']|liviidol|Al-Qadim (Forgotten Realms)|Living Idol|Living Idol|Death|Sacrifices|Very rare|16|Semi (2-4)|Nil|Fearless (20)|3|1|1|Solitary|L (10-12' tall)|Charm|Immune to most spells, +3 or better weapon to hit|3|Incidental|16,000|Neutral Evil|4|Any|4-32
['2129']|liviidol|Al-Qadim (Forgotten Realms)|Living Idol|Living Idol|Elemental|Sacrifices|Very rare|12|Semi (2-4)|Nil|Fearless (20)|4|1|1|Solitary|L (10-12' tall)|Charm|Immune to most spells, +3 or better weapon to hit|3|Incidental|12,000|Chaotic neutral|Nil|Any|4-32
['2129']|liviidol|Al-Qadim (Forgotten Realms)|Living Idol|Living Idol|Healing|Sacrifices|Very rare|12|Semi (2-4)|Nil|Fearless (20)|3|1|1|Solitary|L (10-12' tall)|Charm|Immune to most spells, +3 or better weapon to hit|3|Incidental|12,000|Neutral good|4|Any|4-32
['2129']|lycawehy|Al-Qadim (Forgotten Realms)|Lycanthrope, Werehyena|Lycanthrope, Werehyena|Lycanthrope, Werehyena|Scavenger|Uncommon|5+1|Very (11-12)|Nil|Average (8-10)|12|2-12|1|Pack|M (5-6' tall)|See below|Iron or +1 weapon to hit, immune to enchantment/<i>charm</i> spells|15|Q&times;10 each|1,400|Neutral evil|5|Tropical/Deserts and plains|2-12 or by weapon
['2129']|lycaweli|Al-Qadim (Forgotten Realms)|Lycanthrope, Werelion|Lycanthrope, Werelion|Lycanthrope, Werelion|Carnivore|Rare|6+6|Average (8-10)|Nil|Elite (14)|15, Jp 6|2-8|3|Pride|M or L (6' long)|Leap, rear claws (2-8 each)|Hit only by silver or +1 or better weapon, -2 on surprise rolls|15|D,U|2,000|Lawful evil|7|Subtropical/Plains, villages, jungles|1-6/1-6/2-12
['2129']|markeen|Al-Qadim (Forgotten Realms)|Markeen|Markeen|Markeen|Omnivore|Very rare|2|Low to Genius (5-18)|Nil|Elite (13-14)|12, Fl 18 (B)|1|1|Solitary|M|Spells|Nil|19|Nil|120|Any|7|Any|1-6 or by weapon type
['2129']|maskhi|Al-Qadim (Forgotten Realms)|Maskhi|Maskhi|Maskhi|Omnivore|Rare|4+1|Average to High (8-14)|Nil|Elite (13)|9 (as animal) or 0|2-40|2|Tribes|M|Surprise|Shapeshifting|17|P (C)|975<br>Lore mistress or witch doctor: 3,000|Chaotic neutral|5 or 0|Any tropical land|1-3/1-3 or by weapon
['2129']|maswasgi|Al-Qadim (Forgotten Realms)|Mason Wasp, Giant|Mason Wasp, Giant|Mason Wasp, Giant|Omnivore|Uncommon|6+1|Low (5-7)|Nil|Steady (11)|6, Fl 21 (B)|1-2|2|Solitary|M (6' long)|Poison and fire breath|mmune to fire|15|Incidental|3,000|Neutral good|2|Tropical/Plains or desert|4-16/1-4
['2129']|nasnas|Al-Qadim (Forgotten Realms)|Nasnas|Nasnas|Nasnas|Omnivore|Uncommon|2+2|Low (7)|Nil|Steady (12)|9|3-30|1|Tribal|M|Fear|Iron or magic weapons to hit|17 (19)|M (Q,D)|270|Lawful Evil|6|Isolated strongholds and ruins|By weapon type +5
['2129']|pahari|Al-Qadim (Forgotten Realms)|Pahari|Pahari|Pahari|Carnivore|Uncommon|3-6|Very to Genius (11-18)|25%|Average (10)|12, Sw18 or Sw 24|2-20|1|Community|M (5-6' long)|Spells|Spells|3-4 HD: 17<br>5-6 HD: 15|U (Q&times;10,A)|650 + 400 per hit die above 3.|Chaotic good|7|Tropical/Seas and oceans|By weapon type or spell
['2129']|rom|Al-Qadim (Forgotten Realms)|Rom|Rom|Rom|None|Rare|15+1|Low (5-7)|Nil|Fearless (19)|12|1-8|1|Tribal|H (17' tall)|Throwing rocks, strength drain, fear|See below|2 (5)|R (D)|10,000|Lawful evil|1|Subterranean wilderness|1d10+8
['2129']|sabulord|Al-Qadim (Forgotten Realms)|Sabu Lord|Sabu Lord|Sabu Lord|Carnivore|Rare|8+8|Very (11-12)|Nil|Champion (16)|12, Jp 6|1-2|3|Solitary|L (12-16' long)|Roar, summoning|See below|13|F|4,000|Neutral|3 (males), 4 (females)|Tropical/Plains and savannah|1-6/1-6/2-16
['2129']|sakina|Al-Qadim (Forgotten Realms)|Sakina|Sakina|Sakina|Special|Very rare|7+7|High (13-14)|50%|Champion (16)|Fl 48 (A)|1|1|Solitary|M (5-6' tall)|See below|Invisibility, +1 or better weapons to hit.|13|Nil|5,000|Chaotic good|0, -4 when invisible|Any|3-18
['2129']|serplord|Al-Qadim (Forgotten Realms)|Serpent Lord|Serpent Lord|Serpent Lord|Omnivore|Very rare|16|Genius (17-18)|70%|Champion (16)|6|1|1|Solitary|G (50' long)|Constriction, spells|Spells|5|A,S,T|15,000|Lawful good|-2|Tropical/Hills and ruins|4-24
['2129']|serpwing|Al-Qadim (Forgotten Realms)|Serpent, Winged|Serpent, Winged|Serpent, Winged|Herbivore|Rare|4+4|Semi- (2-4)|Nil|Average (9)|12, Fl 18 (B)|2-8|1|Flocks|L (8-10' long)|Poison, spark shower|Immune to electricity|17|Nil|1,400|Neutral|5|Tropical/Forests|1-4
['2129']|silat|Al-Qadim (Forgotten Realms)|Silat|Silat|Adult|Carnivore|Rare to very rare|9<br>Matriarch: 12|High to Exceptional (13-16)|55%|Elite (14)|15|1 or 3-9|3|Solitary or family|L-G (12-15' tall)|See below|See below|8 (11)<br>Matriarch: 6 (9)|W (D)|10,000<br>Matriarch: 17,000|Any chaotic|0<br>Matriarch: -3|Any land|8-11/8-11/9-15
['2129']|silat|Al-Qadim (Forgotten Realms)|Silat|Silat|Young|Carnivore|Uncommon|7|Very (11-12)|30%|Elite (14)|15|1|3|Solitary|L (10' tall)|See below|See below|10 (13)|R|5,000|Any chaotic|3|Any land|8-11/8-11/9-15
['2129']|simurgh|Al-Qadim (Forgotten Realms)|Simurgh|Simurgh|Simurgh|Omnivore|Very rare|10+10|Genius (17-18)|Nil|Elite (14)|3, Fl 48 (A)|1|2|Solitary|G (20' wingspan)|See below|See below|11|(A)|10,000|Lawful good|1|Warm hills and mountains|2-16/2-16
['2129']|stonmaid|Al-Qadim (Forgotten Realms)|Stone Maiden|Stone Maiden|Stone Maiden|Omnivore|Very rare|5|High (13-14)|40%|Steady (12)|12|1 or 1-4|1|Solitary|M (5'tall)|Suggestion|See below|15|D|5,000|Neutral good|8|Any stone (near desert)|By weapon type or spell
['2129']|vishap|Al-Qadim (Forgotten Realms)|Vishap|Vishap|Vishap|Carnivore|Rare|8 (base)|High (13-14)|Varies|Elite (14)|18, Jp 6|1 (2-9)|3 and 1|Solitary or clan|Huge (25' base)|Special|Varies|13|Special|Varies|Neutral evil|3 (base)|Tropical/Hills or desert|1-4/1-4/2-12 and 2-8 (+combat modifier)
['2129', '2140']|zaratan|Al-Qadim (Forgotten Realms)|Zaratan|Zaratan|Zaratan|Omnivore|Very rare|51-70|Average (8-10)|Nil|Fearless (19)|1, Sw 2|1|1|Solitary|G (200-350' diameter)|Swallow|Immune to poison, magic weapon needed to pierce shell|5|See below|46,000 + 1,000 per HD over 51|Neutral|-6/0|Tropical/Fresh and salt water|10-100
['2129']|zin|Al-Qadim (Forgotten Realms)|Zin|Zin|Zin|Carnivore|Very rare|5+1|High to Genius (13-18)|30%|Average (10)|12, Sw 12|1-6|1|Bands|M (6-12' long)|Poison|See below|15|W|2,000|Chaotic neutral|5|Freshwater rivers and lakes|1-6
